issuekey,title,description,storypoint
DURACLOUD-131,update emc libraries reintroduce baseline,emc storage provider currently excluded tests use inconsistent performance around time emc process taking storage service production hopefully addressed problems client libraries emc need updated recent version code needs updated work latest libraries tests use emc provider needs reenabled,2
DURACLOUD-132,application initialization tool,initialization process duracloud becomes increasingly involved tooling support would helpful tool read configuration properties files durastore duraservice duradmin security initialize three webapps set security users three webapps,3
DURACLOUD-133,restful initialization duradmin,currently way initialize duradmin duradmininithtm improvement allow initialization http call,1
DURACLOUD-134,propagate duradmin security updates durastore duraservice,updates security users happens duradmin changes need pushed durastore duraservice,1
DURACLOUD-135,handle xml consistent way throughout duracloud baseline,duracloud currently uses xml many places serveral tools methods used validating parsing xml object model first step pull bit xml generationparsingvalidating code class passing back objects used parts code make easier refactor xml handling standard method consider tools provides best set features use consistently also standard method validation relax considered,5
DURACLOUD-140,error viewing files duradmin space listing,replicate add attached file includes file name space view space using duradmin request appears fail get metadata new file link removed replaced unable complete request status click link disappears everything appears metadata displayed file viewed downloaded note problem appears occur characters show contentid couple questions whats causing failure retrieving metadata link item disappear metadata cant retrieved side note select content item view space page metadata content items loaded content items list turn error messages content page loads shortly things get back normal may appear user done something wrong clicking content link,2
DURACLOUD-143,able embed viewer local hosted application,users would like view jpeg images image server wrapped uiportal images image server would hosted duracloud,1
DURACLOUD-145,duraservice messaging,feature analogous duracloud except calls applying publishing messaging events across duraservice methods,4
DURACLOUD-149,servicesadmin clear registered services,improvement provide restful means clearing registered services servicesadmins cache would facilitate bringing duraservice servicesadmin back sync,3
DURACLOUD-150,duradmin warning overwrite,using duradmin users notified adding content item overwrite existing file,1
DURACLOUD-152,disable unused projects,issue disable duradavwebapp build remove sunstorageprovider,1
DURACLOUD-154,release ami,tracker item container items included ami redirect duradmin,3
DURACLOUD-155,project version batch scripts,issue followon durcloud enabled true project version numbers duracloud baseline issue enable version numbers sourced common bat file ala resourcesscriptsosgienvsh servicesjkservicerundepssh,1
DURACLOUD-156,license boiler plates,going opensource baseline needs updated include proper licensing info,1
DURACLOUD-157,refactor storageproviderfactory taskproviderfactory,order able leverage spring ioc aop etc across classes chain classes follow similar pattern well easily unit test injecting mocks jiraitem refactor classes comprised static methods use spring framework inject respective restjava counterparts,1
DURACLOUD-158,change sync tool default port,default port sync tool allow used customers without set port,1
DURACLOUD-159,provide way make use amazons reduced redundancy storage,amazons reduced redundancy storage provides lower cost cloud storage solution add task set content space use type storage get back standard storage could potentially also add service allow users directly another tracker item,2
DURACLOUD-160,create filebased credential store unit tests,replace current unittestdb filebased method storing retrieving storage provider credentials new method need able handle storage files encrypted developers able keep local file perhaps pointed maven settings includes account credentials needed testing able choose encrypt file working unencrypted file simpler local development using encrypted file allow secure storage simpler sharing among developers key needed encdec could stored maven settings may choose pass encryped credentials file bamboo order able update test accounts keys without needing rebuild ami seems likely reuse code appconfig actually read credentials file assuming format appconfig file also able use encryptionutil common handle encryptiondecryption combination commonsio fileutilsreadfiletostring assembly provides easy cli encrypt decrypt file,3
DURACLOUD-161,transition using reduced redundancy storage pilot storage,transition current objects use rrs update sstorageprovider use rrs default one way would add task sets flag within sstorageprovider indicating preferred storage setting,3
DURACLOUD-163,add config element duraservice serviceregistry store credentials,item add new config element duraservice usernamepassword needed get services dcprod serviceregistry store currently credentials coming hijacked config elements duraserviceservicecomputeusername duraserviceservicecomputepassword,1
DURACLOUD-164,response durastore many open files,uploading files wgbh release instance durastore would respond exception tomcat log files attached indicate javanetsocketexception many open files lsofout shows excess open socket connections instance may related jetst library,3
DURACLOUD-167,error retrieving content stores,getting error trying access spaces duradmin accessing files durastore appears unaffected unexpected error occurred error retrieving content stores response code expected value response body htmlheadtitleapache tomcat error reporttitlestyleh fontfamilytahomaarialsansserifcolorwhitebackgroundcolordfontsizepx fontfamilytahomaarialsansserifcolorwhitebackgroundcolordfontsizepx fontfamilytahomaarialsansserifcolorwhitebackgroundcolordfontsizepx body fontfamilytahomaarialsansserifcolorblackbackgroundcolorwhite fontfamilytahomaarialsansserifcolorwhitebackgroundcolord fontfamilytahomaarialsansserifbackgroundwhitecolorblackfontsizepxa color blackaname color blackhr color dstyle headbodyhhttp status bad credentialshhr size noshadenoshadepbtypeb status reportppbmessageb ubad credentialsuppbdescriptionb uthis request requires http authentication bad credentialsuphr size noshadenoshadehapache tomcathbodyhtmlerror retrieving content stores response code expected value response body htmlheadtitleapache tomcat error reporttitlestyleh fontfamilytahomaarialsansserifcolorwhitebackgroundcolordfontsizepx fontfamilytahomaarialsansserifcolorwhitebackgroundcolordfontsizepx fontfamilytahomaarialsansserifcolorwhitebackgroundcolordfontsizepx body fontfamilytahomaarialsansserifcolorblackbackgroundcolorwhite fontfamilytahomaarialsansserifcolorwhitebackgroundcolord fontfamilytahomaarialsansserifbackgroundwhitecolorblackfontsizepxa color blackaname color blackhr color dstyle headbodyhhttp status bad credentialshhr size noshadenoshadepbtypeb status reportppbmessageb ubad credentialsuppbdescriptionb uthis request requires http authentication bad credentialsuphr size noshadenoshadehapache tomcathbodyhtml,1
DURACLOUD-168,sync tool writes log files working directory,sync tools writes duracloudcommonlog file current working directory possibly issue nonwindows platforms writing relative file path cworkprogramsduracloudlogsduracloudcommonlog causes errors log files caused orgduraclouderrorcontentstoreexception error attempting add content cworkprogramsduracloudlogsduracloudcommonlog aapppreservation due response code expected value response body value error attempting add content cworkprogramsduracloudlogsduracloudcommonlog aapppreservation due content cworkprogramsduracloudlogsduracloudcommonlog added space aapppreservation checksum either provided computed enroute cebadedffe match checksum computed storage provider fbbddbafbbbd content checked retransmitted orgduracloudclientcontentstoreimpladdcontentcontentstoreimpljava orgduracloudchunkwriterduracloudcontentwriteraddcontentduracloudcontentwriterjava caused orgduraclouderrorcontentstoreexception response code expected value response body value error attempting add content cworkprogramsduracloudlogsduracloudcommonlog aapppreservation due content cworkprogramsduracloudlogsduracloudcommonlog added space aapppreservation checksum either provided computed enroute cebadedffe match checksum computed storage provider fbbddbafbbbd content checked retransmitted orgduracloudclientcontentstoreimplcheckresponsecontentstoreimpljava orgduracloudclientcontentstoreimpladdcontentcontentstoreimpljava info poolthread syncworkerjava retryonfailure adding volumesmlamellondiglibbarcodecworkprogramsduracloudlogsduracloudcommonlog back changed list another attempt made sync file mdbarcode chrisbeer java jar downloadssynctooldriverjar wgbhduracloudorg aapppreservation admin changeme starting sync tool startup complete sync tool configuration sync directories volumesmlamellondiglibbarcode durastore host wgbhduracloudorg durastore port durastore username admin duracloud space aapppreservation synctool backup directory synctool poll frequency synctool threads synctool max file size bytes synctool syncing deletes false sync tool help following commands available exits sync tool prints sync tool configuration prints sync tool status level changes log level level may debug info warn error location logs volumesmlamellondiglibbarcodelogs sync tool status start time sync queue size syncs process successful syncs failed syncs volumesmlamellondiglibbarcodecworkprogramsduracloudlogsduracloudcommonlog volumesmlamellondiglibbarcodecworkprogramsduracloudlogsduracloudcommonlog volumesmlamellondiglibbarcodecworkprogramsduracloudlogsduracloudcommonlog quit mdbarcode chrisbeer tail cworkprogramsduracloudlogsduracloudcommonlog logsduracloudcommonlog back changed list another attempt made sync file caused orgduraclouderrorcontentstoreexception error attempting add content cworkprogramsduracloudlogsduracloudcommonlog aapppreservation due response code expected value response body value error attempting add content cworkprogramsduracloudlogsduracloudcommonlog aapppreservation due content cworkprogramsduracloudlogsduracloudcommonlog added space aapppreservation checksum either provided computed enroute cebadedffe match checksum computed storage provider fbbddbafbbbd content checked retransmitted orgduracloudclientcontentstoreimpladdcontentcontentstoreimpljava orgduracloudchunkwriterduracloudcontentwriteraddcontentduracloudcontentwriterjava caused orgduraclouderrorcontentstoreexception response code expected value response body value error attempting add content cworkprogramsduracloudlogsduracloudcommonlog aapppreservation due content cworkprogramsduracloudlogsduracloudcommonlog added space aapppreservation checksum either provided computed enroute cebadedffe match checksum computed storage provider fbbddbafbbbd content checked retransmitted orgduracloudclientcontentstoreimplcheckresponsecontentstoreimpljava orgduracloudclientcontentstoreimpladdcontentcontentstoreimpljava info poolthread syncworkerjava retryonfailure adding volumesmlamellondiglibbarcodecworkprogramsduracloudlogsduracloudcommonlog back changed list another attempt made sync file,1
DURACLOUD-169,noninteractive content transfer tool,complement sync tool love see noninteractive oneoff content transfer tool akin scp rsync either perdirectory perfile could easily integrated existing workflows java jar duracloudtransferjar file wgbhduracloudorg aapppreservation admin changeme transfers file aapppreservation space,1
DURACLOUD-174,errors loading duradmin spaces,syncing large files getting weird intermittent errors duradmin trying verify files answer probably dont reporting anyway url see attached screenshot refreshing attached stack trace eventually get application error orgduracloudduradminutildataretrievalexception orgduraclouderrorcontentstoreexception error attempting get space aapppreservation due many open files javalangruntimeexception orgduracloudduradminutildataretrievalexception orgduraclouderrorcontentstoreexception error attempting get space aapppreservation due many open files orgduracloudduradmincontentstorecontentitemlistgetspacecontentitemlistjava orgduracloudduradmincontrolcontentscontrollerhandlecontentscontrollerjava orgspringframeworkwebservletmvcabstractcommandcontrollerhandlerequestinternalabstractcommandcontrollerjava,1
DURACLOUD-175,break osgi tests new project,move existing service tests spin osgi container new project servicesosgitest tests run normal using mvn clean install skipped dskipinttests pskipinttests flags used,2
DURACLOUD-177,durastore restapi addition spaceexists contentexists,issue add two additional methods durastore restapi spaceexistsspaceid contentexistsspaceid contentid,2
DURACLOUD-178,trade jetst libraries sstorageprovider amazonsupported libraries,use amazon libraries connecting also used connecting,4
DURACLOUD-179,set higher file handle limits duracloud amis,wgbh seen issues instance due tomcat process running file handles get around changes listed bottom ami creation wiki page added changes need included duracloud amis,1
DURACLOUD-180,sync tool run completion,add option sync tool would allow run work queue empty exit would useful administrators would like use sync tool part cron job sync days updates one time rather sync tool run continually,1
DURACLOUD-181,sync tool retry failed transfers,update sync tool write failed transfers file backup directory add option retry failed transfers startup would need one time retry otherwise risk loop high pulls contents failed transfers file work queue clears file new failures would written file,2
DURACLOUD-182,sync tool start scratch option,add option sync tool would clear status logs ignore order start scratch attempt sync files rather restarting would remove need ever manually clear backup directory unless wanting remove log files,1
DURACLOUD-185,change icon something appropriate deployundeploy service,sure lockunlock icons used openclosed spaces really applies service deployundeploy,1
DURACLOUD-191,update image conversion service make use amazons elastic mapreduce service,order handle processing volume data presented pilot partners duracloud needs able distribute compute work onto multiple machines appears standardized way distribution make use apache hadoop since amazon provides elastic mapreduce service makes use hadoop makes sense investigate initial step towards able take advantage scalable processing cloud already data convert nypl tiff images existing image conversion service task allow image conversion run via mapreduce,16
DURACLOUD-192,full url streaming content,improvement expose full url including streaming host server content streamed via mediastreaming service various stream viewers provide ability paste url testing,1
DURACLOUD-193,navigating away upload progress causes upload fail,quick fix provide warning user better solution probably make spacesservicesadminand dashboard pages driven page making various sections spacesservicesetc addressable hashmark,1
DURACLOUD-195,uploads dialog gets little messy files uploaded close button sits stuff cant see bottom scroll bar etc,uploads dialog gets little messy files uploaded close button sits stuff cant see bottom scroll bar etc,1
DURACLOUD-196,mark image files space closed indicating viewer available open spaces,would really useful notice box image files space closed indicating viewer available open spaces viewing service deployed,1
DURACLOUD-197,make available services explicit,services tab click deploy new service view list available services currently running would nice information somehow presented immediate service page wasnt immediately apparent services could run,1
DURACLOUD-198,duradmin add content item button available prior selecting space,add content item button spaces tab duradmin selected without choosing space add content dialog box opens allows interact usual click add button nothing happens add content item button likely grayed space selected,1
DURACLOUD-200,new storageprovider msazure,feature create storageprovider implementation ala emcstorageproviderjava rackspacestorageproviderjava sstorageproviderjava microsofts azure storage offering,13
DURACLOUD-202,server health status monitoring,toplevel feature span dashboard backend status exactly functionality expected feature needs investigation examples may include usage storage requests bandwidth consumption uploads downloads etc storage breakdowns space mimetype storage provider etc cost estimating see following page ideas,13
DURACLOUD-204,persisting user passwords,improvement persist system user credentials enable ones used across migrations new duracloud instance,1
DURACLOUD-207,service configuration exclusion groups,task update serviceconfig schemas support notion exclusion groups deployment configuration services allows dynamically display appropriate input elements based initial selections made user see duracloud,2
DURACLOUD-215,service exclusion groups modifications,changes support duracloud,1
DURACLOUD-217,chrome misbehavior,wed aug bryan beecher bryanumichedu wrote really weird chrome throws tomcat error hangs firefox works aok ill use firefox bryan wed aug bryan beecher bryanumichedu wrote hey carissa logged changed password hitting submit got page useraccountnonexpiredtrueaccountnonlockedtruecredentialsnonexpiredtrueenabledtruegrantedauthoritiesroleadminroleuserpasswordomittedusernameadmin contains new password however whenever navigate home page url get response tomcat long stack trace send helpful cutnpaste url different browser get login screen hangs try authenticate bryan,1
DURACLOUD-220,service report dashboard,task create dashboard displaying downloading reports service jobs information running services completed services need displayed rest api calls available service report information gathered need created able display information reports reports likely xml xslt option display,5
DURACLOUD-222,service configuration schema update nested modes,improvement update servicetypesxsd define servicetype current sequence config elements well modetype contains another modetype sequence config elements,1
DURACLOUD-223,service report backend utility completed services,feature provides backend support providing service summary details services completed completed defined either coming state success failure case services stay running imageserver coming state started service summaries collected soon service completes persisted single file containing services single report file start fresh monthly basis,5
DURACLOUD-224,duradmin enter key properly submit content detail edit,editing mimetype content item duradmin using edit content item dialog using enter key submit save value input returns user main spaces view space selected using save button works fine using enter key perform function clicking save,1
DURACLOUD-225,duradmin next previous buttons content list displayed even necessary,recently added next previous buttons allow cycling large sets content items seem show even content items space buttons available content items displayed scroll window,1
DURACLOUD-226,duradmin login button login screen respond enter key chrome,using google chrome browser attempting log via duradmin login button triggered hitting enter key clicking login button works fine firefox clicking button hitting enter key work fine,1
DURACLOUD-228,cannot display spaces duraadmin,logging duraadmin web app navigate tabs successfully selecting spaces tab get popup says errorundefined sync tool also exhibits problem trying access spaces starting sync tool exception thread main javalangruntimeexception could connect space synctest orgduracloudsyncendpointdurastoresyncendpointensurespaceexistsdurastoresyncendpointjava orgduracloudsyncendpointdurastoresyncendpointinitdurastoresyncendpointjava orgduracloudsyncendpointdurastorechunksyncendpointinitdurastorechunksyncendpointjava orgduracloudsyncsynctoolstartsyncmanagersynctooljava orgduracloudsyncsynctoolrunsynctoolsynctooljava orgduracloudsyncsynctoolmainsynctooljava,1
DURACLOUD-229,content complete list size,number content items within space exceeds maxresults parameter set greater default contentiteratorjava eventually terminates early underlying query storage provider maxresults account possibility space metadata content object may listing since client return max items regardless maxresults parameter call effectively turns call items logic contentiterator terminating number items listing returned less maxresults parameter case items returned one removed space metadata object,1
DURACLOUD-230,exception thrown duradmin initialization,attached stacktrace begun appearing catalinaout log running appconfig initialization tool downloading various revisions baseline able associate origins stacktrace svn aug observe stacktrace running mvn clean install dskiptests top baseline followed java jar appconfigtargetappconfigsnapshotdriverjar localhostproperties unclear mods trunkduradminsrcmainwebappwebinfconfigtilesxml trunkduradminsrcmainwebappwebinfjsperrorjsp cause error allow visible catalinaout log note also get result running following curl command curl duradmininitxml unpw,1
DURACLOUD-231,allow users select storage class,release content added set reduced redundancy storage class tasks available transition content given space particular storage class either standard reduced redundancy task provide way user select storage class would prefer set new content added selection would content account later tasks need handle provide selection storage class space level provide way users transition existing content preferred storage class likely service leverages existing tasks,3
DURACLOUD-232,restapi create toplevel exception barrier,improvement create toplevel exception barrier durastore duraservice restapis currently unexpected exceptions appear client response either stacktrace tomcat html error document,1
DURACLOUD-233,add support cloudfront invalidation,since media streaming service created amazon added feature called invalidation provides api call remove content cloudfront media streaming service updated make use call stopping service content longer available streaming service turned,1
DURACLOUD-235,metadata name prefix mismatch durastore duradmin,duradmin metadata prefix extension durastore metadata prefix durastore xdurameta duradmin xdurametaext therefore metadata created durastore restapi may contain full prefix duradmin expecting two prefixes need made consistent logic probably pushed duradmin storeclient,3
DURACLOUD-237,test infrastructure mocking integration tests,improvement allow developers run test suites often reducing amount time takes run build many integration tests unnecessarily way underlying storageproviders tests revisited eye towards mocking network calls overly redundant,8
DURACLOUD-239,duradmin uploaded file displayed wrong space,uploading file upload completes content uploaded file added list items currently viewed space even space item stored clicking content brings get item failed error dialog clicking either space one viewed one upload landed allows refresh show correct listing,1
DURACLOUD-240,duradmin images closed spaces displayed service exists,duracloud space closed view link still attempts open viewer along current notice link open space images act like service deployed space opened,1
DURACLOUD-249,fedora integration basicauth externally referenced datastreams,feature duracloud marker fedora issue,1
DURACLOUD-255,incorrect redirects http,saw testing poster performing put add new content item everything right except use http rather url end response using see happens sent back original request forwarded address get rather put result attempting get content item exist would appear http verb lost redirect,2
DURACLOUD-256,machines able login duradmin,brian beecher andrew seen occasional problems logging symptom user tries logging correct credentials failure success brian using chrome doesnt see problem cognito mode seems caching issue,1
DURACLOUD-257,use amazon java client cloudfront,duracloud transitioned majority interactions using amazonprovided java client unfortunately work done client yet support cloudfront access cloudfront continued jetst amazon library updated include cloudfront task complete transition remove jetst sstorageprovider dependencies,1
DURACLOUD-259,create ami,production ami contain removal bundlehomecontainer work attic shutdown etcinitdduraspace script update etcapache include following line rewritelock varlockapacheapacherewritelock new rewritemap localipmap prgetcapachebinlocalipsh already present touch varlockapacheapacherewritelock,2
DURACLOUD-260,login failure browsersenvironments,firefox chrome opera occasionally firefox chrome first time usernamepassword provided enter key hit fields clear immediately reinserting values always succeeded,1
DURACLOUD-261,allow storeclient handle redirects,currently storeclient initialized use port connect durastore fail making calls responses redirect port task allow storeclient retry using redirect path rather failing update would likely benefit serviceclient well,2
DURACLOUD-265,ensure integrity input content hadoop services,improvement revisit hadoop services fixity bulk image conversion replication demand ensure content pulled valid respect stored value,3
DURACLOUD-266,notification service completion,task provide notification user running service service completes notification include link final output report one generated service original description bryan beecher suggested adding sort popup email message indicator might good idea fixity service finished job running isnt clear tell finished beyond polling services page,5
DURACLOUD-270,pagination delete,scenario revealed wanting clear entire contents space first hundred items space many items commonly case log output hadoop jobs select space select checkbox marks items shown current page select delete selected content items notice items deleted select next button notice next page items displayed refresh space hitting space name notice next page items displays,1
DURACLOUD-271,message creating space already exists,creating space already exists following popup displays error error space undefined normally determine error must relate fact space already exists sometimes creating new space action fails space listed lefthand side listing spaces despite failure space actually created although shown trying create shows error space undefined message make easy determine actual error suggestion render specific error message,1
DURACLOUD-272,metadata add button label removed focus,adding metadata either space content add metadata button label removed soon button gets focus follows name value text removed metadata text fields happen button,1
DURACLOUD-274,handle filenames include spaces,issue review current set duracloud services utilities including sync retrieval tools determine ones currently support working content items include space character content ids list identified service utility updated handle case,3
DURACLOUD-275,duraadmin view images closed space viewer,remove notice space needs open order view image viewer change link view closed images viewer also change viewer url param http make sure release issue duracloud,1
DURACLOUD-276,update sync tool command line flags match retrieval tool flags,following flags need updated sync tool match retrieval tool password change port change backup work directory change sync content directory change sync deletes change exit completion change add store,1
DURACLOUD-277,update retrieval tool skip space dir creation single space retrieval,necessary retrieval tool create directory space retrieved retrieval single space task update retrieval tool one space retrieved files directly content directory multiple spaces retrieved space directories created case currently,1
DURACLOUD-278,selecting single space deletion displays delete multiple spaces warning,duradmin select single space deletion far right youll see multiple spaces selected message clicking delete selected spaces youll also get warning says sure want delete multiple spaces obviously little confusing causes double check arent accidentally delete multiple spaces,1
DURACLOUD-279,bulk image transformation failures,bulk image transformation service failed numerous tests set tiff images files supplied rhodes set includes images ranging size primary test case converting format using source color space service failed running instance instance size service also failed test running xlarge instance mappers watching memory consumption small instance service running shows significant amount memory consumed mogrify step run using bash script call imagemagick swap space consumed less memory remained available testing indicated size images transformed likely plays role failures moving two largest rhodes files another space rest tiffs allowed transformation complete successfully using xlarge instances running conversion set instance regardless size still failed however attached file shows list tiff files successfully transformed tests well files tests failed large instance run two mappers xlarge instance mappers,5
DURACLOUD-281,duraservice resolve spaces providers,improvement servicemanagerjava resolve spaces providers service config object specifies allstorespaces mode,1
DURACLOUD-282,bit integrity service update service config provider spaces,improvement change bit integrity service leverage mode schema element specify need resolving spaces providers,3
DURACLOUD-283,duplicate upload ensure metadata included,improvement ensure content replicated via duplicate ingest service also duplicate usersupplied metadata,1
DURACLOUD-285,bottleneck hadoop processing,two runs bulk bit integrity service set bhl content took approximately amount time minutes hours problem first run used small instances second run used xlarge instances xlarge instance completed task much faster higher bandwidth compute capacities also set use mappers per instance rather small instance setting task discover fix bottleneck allowing xlarge instances run full capacity,3
DURACLOUD-286,allow system services deployed along services depend,task remove system services imagemagick webapp util list deployable services instead deployed needed dependent services deployed likely mean bundling jars services services dependency updating start deployed osgi,2
DURACLOUD-287,odd characters seemingly replace copyright symbol utf issue,bottom duradmin says duraspaceorg,1
DURACLOUD-288,msazure space item count one,number items listed empty azure space number items listed azure space one content item etc,1
DURACLOUD-289,retrieval tool retrieve list specific files,think retrieval tool missing option retrieve specific files specific space dspace use case partial restore may wish retrieve portion files space rather pull would like able request specific files name comma separated list names regular expression could also work list exact names would seemingly meet needs dspace dspace aip files stored duracloud specific names similar collectionzip itemzip generally aip name specific format dspaceobjecttypedspaceobjectidentifierzip dspace install wanted restore particular object small set objects might nice request objects name rather pull entire space know specific case thats currently missing either need simple solution retrieval tool need dspacespecific tool support partial content restores user wants restore particular set items single collection,2
DURACLOUD-293,improve performance retrieve content metadata azurestorageprovider,move generation content checksum getcontentmetadata addcontent also waiting feedback azure team find provide etag,1
DURACLOUD-294,create release,ami amifd docs artifacts created pushed dcprod atlas per,1
DURACLOUD-295,using previous next buttons duracloud administrator interface space detail section right disappears,navigating list content items space using previous next buttons duracloud administrator interface space detail section right disappears reappears reselect space click individual item,1
