,issuekey,title,description,storypoint
12,TIMOB-2231,ios add ability add vector overlay maps,couldnt find existing ticket remember mentioned somewhere would like able draw vector shapes top map various colours opacity textures bonus points code assists drawing manipulating vector touch events placing markers corners resizing etc otherwise least event triggering clicking interacting vector shape adds whole dimension mapping applications plotting areas recording information areas,34
13,TIMOB-2363,android strip debugging symbols jars building production,might good space saving measure strip debugging symbols jars building apps production mode biggest implication line numbers stack traces production apps,3
14,TIMOB-2484,ios ssl problem without different port,divpif put port different one connection workpdiv,1
15,TIMOB-2527,android app launchbuild problem ampersand home folder name windows,user folder cusers profile contains ampersand cuserstomampjerry real names hidden preventing titanium creating android avds needed test apps giving following error trace error cuserstom recognized valid sdcard value looks like command creates avd stripping away part string tries create avd ive manage track function createavd androidbuilderpy think may culprit sure sdcard created problem must point multitude methods renaming user folder none straight forward registry edits etc hoping someone tell way making titanium function albeit rare idiotic usage case anyone suggestions,5
16,TIMOB-2646,android support passing customized launch params android emulator,developers would like ability add custom launch parameters android emulator setting http proxy one example parameters would like able include code start emulator emulatorcmd selfsdkgetemulator avd avdname port sdcard selfsdcard logcat nobootanim http partitionsize nexusone droid code reference tickets,3
17,TIMOB-2653,android complexautogenerated remote image urls fail whereas simple urls succeed,problem complex url image used imageview render issues present nov test case following code cause exception codelangjavascripttitleappjs var window titaniumuicreatewindow backgroundcolorred var graph titaniumuicreateimageview top image image windowaddgraph windowopen code commenteduncommented image lines toggled app works without problem logs codelangnonetitlelogcat androidruntime androidruntime start androidruntime checkjni androidruntime registering native functions activitymanager starting activity intent actandroidintentactionmain catandroidintentcategorylauncher flgx cmpcomappceleratortestingtestingactivity activitymanager start proc comappceleratortesting activity comappceleratortestingtestingactivity pid uid gids androidruntime shutting tiapplication main checkpoint app created tiapplication main titanium tifastdev main enabling fastdev port tifastdev main sent tokens successfully tifastdev main fastdev session handshake succesful tiapplication main titanium javascript runtime tiapplication main activity stack emtpy unable get current activity tirootactivity main checkpoint root activity create savedinstancestate null tiapplication main activity stack emtpy unable get current activity tiapplication main activity stack emtpy unable get current activity tiapplication main activity stack emtpy unable get current activity notificationservice object died trying hide notification androidappitransientnotificationstubproxyb package comappceleratortesting activitymanager setprocessforeground called unknown pid tiapplication krollruntimethread app proxy timodulestitaniumappappmodulefccf tiassethelper fetching appjs fastdev tiuiimageview main urisyntaxexception url defghijklampchdlpbampchfcsffffffbgsffffffampchlampchsx tiuiimageview javaneturisyntaxexception illegal character query index ampchdlxyzabcdefghijklampchdlpbampchfcsffffffbgsffffffampchlampchsx tiuiimageview javaneturihelpervalidatequeryurijava tiuiimageview javaneturihelperparseuriurijava tiuiimageview javaneturihelperaccessurijava tiuiimageview javaneturiiniturijava tiuiimageview timodulestitaniumuiwidgettiuiimageviewsetimagetiuiimageviewjava tiuiimageview timodulestitaniumuiwidgettiuiimageviewprocesspropertiestiuiimageviewjava tiuiimageview orgappceleratorkrollkrollproxysetmodellistenerkrollproxyjava tiuiimageview orgappceleratortitaniumproxytiviewproxyrealizeviewstiviewproxyjava tiuiimageview orgappceleratortitaniumproxytiviewproxyhandlegetviewtiviewproxyjava tiuiimageview orgappceleratortitaniumproxytiviewproxygetorcreateviewtiviewproxyjava tiuiimageview orgappceleratortitaniumproxytiviewproxyhandleaddtiviewproxyjava tiuiimageview orgappceleratortitaniumproxytiviewproxyhandlemessagetiviewproxyjava tiuiimageview androidoshandlerdispatchmessagehandlerjava tiuiimageview orgappceleratorkrollcommontimessengerdispatchmessagetimessengerjava tiuiimageview orgappceleratorkrollcommontimessengerdispatchpendingmessagestimessengerjava tiuiimageview orgappceleratorkrollcommontimessengergetresulttimessengerjava tiuiimageview orgappceleratorkrollcommontimessengersendblockingmessagetimessengerjava tiuiimageview orgappceleratorkrollcommontimessengersendblockingruntimemessagetimessengerjava tiuiimageview orgappceleratorkrollkrollproxyfiresynceventkrollproxyjava tiuiimageview orgappceleratortitaniumtibaseactivityoncreatetibaseactivityjava tiuiimageview orgappceleratortitaniumtilaunchactivityoncreatetilaunchactivityjava tiuiimageview orgappceleratortitaniumtirootactivityoncreatetirootactivityjava tiuiimageview androidappinstrumentationcallactivityoncreateinstrumentationjava tiuiimageview androidappactivitythreadperformlaunchactivityactivitythreadjava tiuiimageview androidappactivitythreadhandlelaunchactivityactivitythreadjava tiuiimageview androidappactivitythreadaccessactivitythreadjava tiuiimageview androidappactivitythreadhhandlemessageactivitythreadjava tiuiimageview androidoshandlerdispatchmessagehandlerjava tiuiimageview androidoslooperlooplooperjava tiuiimageview androidappactivitythreadmainactivitythreadjava tiuiimageview javalangreflectmethodinvokenativenative method tiuiimageview javalangreflectmethodinvokemethodjava tiuiimageview comandroidinternaloszygoteinitmethodandargscallerrunzygoteinitjava tiuiimageview comandroidinternaloszygoteinitmainzygoteinitjava tiuiimageview dalviksystemnativestartmainnative method tidrawablereference main problem opening stream url zabcdefghijklampchdlpbampchfcsffffffbgsffffffampchlampchsx ampchtpampchdtampchdlxyzabcdefghijklampchdlpbampchfcsffffffbgsffffffampchlampchsx tidrawablereference javaiofilenotfoundexception mpchdlpbampchfcsffffffbgsffffffampchlampchsx tidrawablereference orgapacheharmonyluniinternalnetwwwprotocol tidrawablereference javaneturlopenstreamurljava tidrawablereference orgappceleratortitaniumutiltifilehelperopeninputstreamtifilehelperjava tidrawablereference orgappceleratortitaniumviewtidrawablereferencegetinputstreamtidrawablereferencejava tidrawablereference orgappceleratortitaniumviewtidrawablereferencepeekboundstidrawablereferencejava tidrawablereference orgappceleratortitaniumviewtidrawablereferencegetbitmaptidrawablereferencejava tidrawablereference timodulestitaniumuiwidgettiuiimageviewsetimagetiuiimageviewjava tidrawablereference timodulestitaniumuiwidgettiuiimageviewprocesspropertiestiuiimageviewjava tidrawablereference orgappceleratorkrollkrollproxysetmodellistenerkrollproxyjava tidrawablereference orgappceleratortitaniumproxytiviewproxyrealizeviewstiviewproxyjava tidrawablereference orgappceleratortitaniumproxytiviewproxyhandlegetviewtiviewproxyjava tidrawablereference orgappceleratortitaniumproxytiviewproxygetorcreateviewtiviewproxyjava tidrawablereference orgappceleratortitaniumproxytiviewproxyhandleaddtiviewproxyjava tidrawablereference orgappceleratortitaniumproxytiviewproxyhandlemessagetiviewproxyjava tidrawablereference androidoshandlerdispatchmessagehandlerjava tidrawablereference orgappceleratorkrollcommontimessengerdispatchmessagetimessengerjava tidrawablereference orgappceleratorkrollcommontimessengerdispatchpendingmessagestimessengerjava tidrawablereference orgappceleratorkrollcommontimessengergetresulttimessengerjava tidrawablereference orgappceleratorkrollcommontimessengersendblockingmessagetimessengerjava tidrawablereference orgappceleratorkrollcommontimessengersendblockingruntimemessagetimessengerjava tidrawablereference orgappceleratorkrollkrollproxyfiresynceventkrollproxyjava tidrawablereference orgappceleratortitaniumtibaseactivityoncreatetibaseactivityjava tidrawablereference orgappceleratortitaniumtilaunchactivityoncreatetilaunchactivityjava tidrawablereference orgappceleratortitaniumtirootactivityoncreatetirootactivityjava tidrawablereference androidappinstrumentationcallactivityoncreateinstrumentationjava tidrawablereference androidappactivitythreadperformlaunchactivityactivitythreadjava tidrawablereference androidappactivitythreadhandlelaunchactivityactivitythreadjava tidrawablereference androidappactivitythreadaccessactivitythreadjava tidrawablereference androidappactivitythreadhhandlemessageactivitythreadjava tidrawablereference androidoshandlerdispatchmessagehandlerjava tidrawablereference androidoslooperlooplooperjava tidrawablereference androidappactivitythreadmainactivitythreadjava tidrawablereference javalangreflectmethodinvokenativenative method tidrawablereference javalangreflectmethodinvokemethodjava tidrawablereference comandroidinternaloszygoteinitmethodandargscallerrunzygoteinitjava tidrawablereference comandroidinternaloszygoteinitmainzygoteinitjava tidrawablereference dalviksystemnativestartmainnative method tidrawablereference main could open stream drawable therefore bounds checking could completed tidrawablereference main bitmap bounds could determined bitmap loaded wont scaled tidrawablereference main problem opening stream url abcdefghijklampchdlpbampchfcsffffffbgsffffffampchlampchsx ampchtpampchdtampchdlxyzabcdefghijklampchdlpbampchfcsffffffbgsffffffampchlampchsx tidrawablereference javaiofilenotfoundexception mpchdlpbampchfcsffffffbgsffffffampchlampchsx tidrawablereference orgapacheharmonyluniinternalnetwwwprotocol tidrawablereference javaneturlopenstreamurljava tidrawablereference orgappceleratortitaniumutiltifilehelperopeninputstreamtifilehelperjava tidrawablereference orgappceleratortitaniumviewtidrawablereferencegetinputstreamtidrawablereferencejava tidrawablereference orgappceleratortitaniumviewtidrawablereferencegetbitmaptidrawablereferencejava tidrawablereference orgappceleratortitaniumviewtidrawablereferencegetbitmaptidrawablereferencejava tidrawablereference timodulestitaniumuiwidgettiuiimageviewsetimagetiuiimageviewjava tidrawablereference timodulestitaniumuiwidgettiuiimageviewprocesspropertiestiuiimageviewjava tidrawablereference orgappceleratorkrollkrollproxysetmodellistenerkrollproxyjava tidrawablereference orgappceleratortitaniumproxytiviewproxyrealizeviewstiviewproxyjava tidrawablereference orgappceleratortitaniumproxytiviewproxyhandlegetviewtiviewproxyjava tidrawablereference orgappceleratortitaniumproxytiviewproxygetorcreateviewtiviewproxyjava tidrawablereference orgappceleratortitaniumproxytiviewproxyhandleaddtiviewproxyjava tidrawablereference orgappceleratortitaniumproxytiviewproxyhandlemessagetiviewproxyjava tidrawablereference androidoshandlerdispatchmessagehandlerjava tidrawablereference orgappceleratorkrollcommontimessengerdispatchmessagetimessengerjava tidrawablereference orgappceleratorkrollcommontimessengerdispatchpendingmessagestimessengerjava tidrawablereference orgappceleratorkrollcommontimessengergetresulttimessengerjava tidrawablereference orgappceleratorkrollcommontimessengersendblockingmessagetimessengerjava tidrawablereference orgappceleratorkrollcommontimessengersendblockingruntimemessagetimessengerjava tidrawablereference orgappceleratorkrollkrollproxyfiresynceventkrollproxyjava tidrawablereference orgappceleratortitaniumtibaseactivityoncreatetibaseactivityjava tidrawablereference orgappceleratortitaniumtilaunchactivityoncreatetilaunchactivityjava tidrawablereference orgappceleratortitaniumtirootactivityoncreatetirootactivityjava tidrawablereference androidappinstrumentationcallactivityoncreateinstrumentationjava tidrawablereference androidappactivitythreadperformlaunchactivityactivitythreadjava tidrawablereference androidappactivitythreadhandlelaunchactivityactivitythreadjava tidrawablereference androidappactivitythreadaccessactivitythreadjava tidrawablereference androidappactivitythreadhhandlemessageactivitythreadjava tidrawablereference androidoshandlerdispatchmessagehandlerjava tidrawablereference androidoslooperlooplooperjava tidrawablereference androidappactivitythreadmainactivitythreadjava tidrawablereference javalangreflectmethodinvokenativenative method tidrawablereference javalangreflectmethodinvokemethodjava tidrawablereference comandroidinternaloszygoteinitmethodandargscallerrunzygoteinitjava tidrawablereference comandroidinternaloszygoteinitmainzygoteinitjava tidrawablereference dalviksystemnativestartmainnative method tidrawablereference main could open stream get bitmap tirootactivity main checkpoint root activity resume activity comappceleratortestingtestingactivityfa activitymanager displayed activity comappceleratortestingtestingactivity total tiuiimageview main retrying bitmap decode tiuiimageview main urisyntaxexception url fghijklampchdlpbampchfcsffffffbgsffffffampchlampchsx tiuiimageview javaneturisyntaxexception illegal character query index ampchdlxyzabcdefghijklampchdlpbampchfcsffffffbgsffffffampchlampchsx tiuiimageview javaneturihelpervalidatequeryurijava tiuiimageview javaneturihelperparseuriurijava tiuiimageview javaneturihelperaccessurijava tiuiimageview javaneturiiniturijava tiuiimageview timodulestitaniumuiwidgettiuiimageviewsetimagetiuiimageviewjava tiuiimageview timodulestitaniumuiwidgettiuiimageviewaccesstiuiimageviewjava tiuiimageview timodulestitaniumuiwidgettiuiimageviewruntiuiimageviewjava tiuiimageview androidoshandlerhandlecallbackhandlerjava tiuiimageview androidoshandlerdispatchmessagehandlerjava tiuiimageview androidoslooperlooplooperjava tiuiimageview androidappactivitythreadmainactivitythreadjava tiuiimageview javalangreflectmethodinvokenativenative method tiuiimageview javalangreflectmethodinvokemethodjava,3
18,TIMOB-2662,android sdk compiling javascript resources time,sdk older developer launch button clicked application immediately displaying emulator code info building test android one moment info copying project resources info tiappxml unchanged skipping class generation info manifest unchanged skipping java build info relaunching application test info relaunched test application running code time get compiling android resources code info building test android one moment info titanium sdk version bbb info copying project resources info tiappxml unchanged skipping class generation info compiling javascript resources info compiling android resources could take time code,3
19,TIMOB-2705,app names containing titanium break iphone build,divpif casesensitive string titanium appears used project name xcode project files pbxproj get mangled cant built titanium developer guip reproduce reliably following versionsbr titanium developer titanium mobile sdk mac xcode pdetails reproducingp pwhen create new mobile project titanium developer called hello titanium building app throws error named xcode target doesnt exist found codebuildiphonebuildbuildlogcodep pcode xcodebuild listcodep pre codeinformation project hello titanium targets hello hellotitanium active hello hellotitaniumipad build configurations debug active release build configuration specified release usedcode pre pthese cases also failp lihellotitanium hellohellotitaniumli lihellotitanium hellohellotitaniumli lititaniumhello titaniumhellohelloli lihellotitaniumhello hellohellotitaniumhellohelloli liwelcome titanium howdy welcome welcometitaniumhowdy howdyli pbut cases finep lihellotitanius hellotitaniusli lisome titanium lowercase titanium lowercaseli uldiv,1
20,TIMOB-2733,android getting error rebuilding changing tiappxml,developing android application using titanium earlier using titaniumplatformdisplaycapsplatformheight tried solution provided getting following error code info detected tiappxml change forcing full rebuild error error compiler type exceptionsioerror errno permission denied dtesttestappbuildandroidbinassetsresourcesthumbsdb traceback recent call last file cdocuments settingsall usersapplication datatitaniummobilesdkwinandroidbuilderpy line module sbuildandrunfalseavdid file cdocuments settingsall usersapplication datatitaniummobilesdkwinandroidbuilderpy line buildandrun selfcopyprojectresources file cdocuments settingsall usersapplication datatitaniummobilesdkwinandroidbuilderpy line copyprojectresources shutilcopypath dest file cdocuments settingsall usersapplication datatitaniummoduleswinpythonlibshutilpy line copy copyfilesrc dst file cdocuments settingsall usersapplication datatitaniummoduleswinpythonlibshutilpy line copyfile fdst opendst ioerror errno permission denied dtesttestappbuildandroidbinassetsresourcesthumbsdb code suggest something asap regards rahul,3
21,TIMOB-2760,need able ref adb either tools platformtools subdir,divpas stands users make symlink tools platformtoolsadbpdiv,3
22,TIMOB-2782,android generate proguard configuration based api usage,decrease final apk size improve performance obfuscate bytecode info,3
23,TIMOB-2801,ios intermittently errors requests,divhproblemh pthe errors intermittently around half time making request following error message sentp pre codeerror domainasi code connection failure occurred userinfoxbb nsunderlyingerrorxbcf operation couldnrsquot completed connection reset peer nslocalizeddescriptiona connection failure occurredcode pre htested onh pall platforms tested clean builds titanium mobile pulled january broken iphone simulator broken ipod touch works android simulator works browser hitting url hsample codeh pre code class javascriptvar win titaniumuicreatewindow backgroudcolor var statuslabel titaniumuicreatetextarea top right left bottom winaddstatuslabel function runrequest var xhr titaniumnetworkcreate xhronload function statuslabelvalue thisresponsetext tiapiinfothisresponsetext xhronerror function statuslabelvalue eerror tiapierroreerror statuslabelvalue waiting response xhropenget xhrsend var refresh tiuicreatebutton title refresh bottom left right height refreshaddeventlistenerclick runrequest winaddrefresh winopen runrequestcode pre hassociated helpdesk ticketh href,2
24,TIMOB-2908,ios switch disable animation init allow developer disable setvalue,loading switch value set true switch shows animation going users would like property added switch object animate boolean value turn animation onload value switch preset true reference ticket,2
25,TIMOB-3162,android tiapilog doesnt work one argument,divpi used tiapilog one argument external file wrongly works iphone message printed info log android fails without error message scripts log line executedpdiv,1
26,TIMOB-3180,android javahome recognized launching android applications,googled found spaces java paths would create complications moved jdk location cjavajavajdkfolder appeared work fine updating javahome path environment variables new location,3
27,TIMOB-3186,android persistent internal compiler error,error message code info compiling javascript resources error error compiler utf codec cant decode byte position unexpected code byte traceback recent call last file cprogramdatatitaniummobilesdkwinandroidbuilderpy line sbuildandrunfalseavdid file cprogramdatatitaniummobilesdkwinandroidbuilderpy line buildandrun compilercompile file cprogramdatatitaniummobilesdkwinandroidcompilerpy line compile jscontents selfmakefunctionfromfilefullpath packfalse file cprogramdatatitaniummobilesdkwinandroidcompilerpy line makefunctionfromfile filecontents codecsopenpathrencodingutfread file cprogramdatatitaniummoduleswinpythonlibcodecspy line read return selfreaderreadsize file cprogramdatatitaniummoduleswinpythonlibcodecspy line read newchars decodedbytes selfdecodedata selferrors unicodedecodeerror utf codec cant decode byte position unexpected code byte code version info titanium mobile android sdk repo steps create new titanium project add attached bigintjs resources directory recompile error occurs remove bigintjs resources directory recompile compiler error still occurs appears entire titanium mobile project trashed point recompile edit fixed formatting,3
28,TIMOB-3286,android support service constants,divpis possible add support constants services better control instances tiandroidservice start event handlerp pim finding android background service getting cleared device running low memory guess alternative support foreground servicesp pandroid docs href thread href,1
29,TIMOB-3432,ios clear app url app arguments resume,divpa href ticketa encounter problem coming back app background multitaskingp pif app opened close tiappgetargumentsurl return nothing opened backgrounding also returns nothing fine app launched safari example app getargumentsurl returns app whatever name app expected app placed background reopened normally url appears opened safarip pmore details sample appjs helpdesk ticket href,1
30,TIMOB-3541,ios implement composite layout behavior spec,implementation new composite behavior spec ios,8
31,TIMOB-3569,titaniumuiiphonesystembutton exist,sometimes times ditto systembuttonstyle iphone emulator restarting titanium developer deleting build folder brought back,2
32,TIMOB-3588,android geolocation displays error alert current location,divpsteps reproducebr launch kitchensinkbr run phone geolocationbr back back geolocation againp pactual resultbr alert errora hrefaa hrefcodeap pexpected resultbr return geolocation valuesp pnotebr droid happens first launchbr nexus sometimes happen first launch sometimes require second launchbr see also bug ptested onbr nexus titanium sdk version apr rccddebr droid titanium sdk version apr rccddepdiv,1
33,TIMOB-3594,tableviewrowheaderfooter undocumentated,divpusage example kitchensink href pbut current api documentation doesnt know attribute href,1
34,TIMOB-4063,android tabgroup events fire focus works,environment tistudio preview android titanium sdk versions following code demonstrates focus event fired tabgroups code titaniumuisetbackgroundcolor var tabgroup titaniumuicreatetabgroup var win titaniumuicreatewindow titletab backgroundcolorfff var tab titaniumuicreatetab titletab windowwin var label titaniumuicreatelabel color texti window winaddlabel var win titaniumuicreatewindow titletab backgroundcolorfff var tab titaniumuicreatetab titletab windowwin var label titaniumuicreatelabel color texti window winaddlabel tabgroupaddtabtab tabgroupaddtabtab tabgroupopen labeladdeventlistenerclick function tiapiinfolabel click event fired tabgroupaddeventlistenerclick function tiapiinfotabgroup click event fired tabgroupaddeventlistenerdblclick function tiapiinfotabgroup dblclick event fired tabgroupaddeventlistenerdoubletap function tiapiinfotabgroup doubletap event fired tabgroupaddeventlistenerfocus function tiapiinfotabgroup focus event fired tabgroupaddeventlistenerswipe function tiapiinfotabgroup swipe event fired code,2
35,TIMOB-4162,android debugger breakpoint hits prior value change condition set,steps reproduce run debug test actual result frames displayed debug window expected result call frames debug window call frames frame eval script appjs frameframe eval script appjs frame toplevel script appjs workaround click resume twice,3
36,TIMOB-4244,ios enable searchbar animate cancel button,searchbar attached tableview instead attached view window cancel button isnt animated seem property enable cancel button animated searchbar attached tableview site hidayet dogan looked source wrote codetitleiphoneclassestiuisearchbarm line change search setshowscancelbuttontiutils boolvaluevalue search setshowscancelbuttontiutils boolvaluevalue animatedyes code could configurable option suppose match tableview searchbar would probably make sense latter configurable,1
37,TIMOB-4274,ios searchhidden value stay window containing scroll view blurredfocused,use searchhiddentrue losing value window containing table property blurred return search displayed code example codelangjavascripttitleappjs titaniumuisetbackgroundcolorfff var tabgroup titaniumuicreatetabgroup var win titaniumuicreatewindow titletab var tab titaniumuicreatetab titletab windowwin var data titlerow var titaniumuicreatesearchbar var tiuicreatetableview datadata searchs searchhiddentrue winaddtb var win titaniumuicreatewindow titletab var tab titaniumuicreatetab titletab windowwin var label titaniumuicreatelabel texti window winaddlabel tabgroupaddtabtab tabgroupaddtabtab tabgroupopen code,3
38,TIMOB-4388,implement getpressure android view,expose getpressure value android devices,2
39,TIMOB-4644,ios new properties titaniumuiview beginning get always link main object,new properties titaniumuiview beginning get always link main object code var myapp myappui myappuicreatemyview function var tiuicreateview vgetsomething function return vgetsomething function return vgetfood return var myview myappuicreatemyview alertmyviewgetsomething object tiuiview shold function alertmyviewgetsomething nothing shold alertmyviewgetsomething alertmyviewgetfood object tiuiview shold code,3
