issuekey,title,description,storypoint
MESOS-920,set glogdroplogmemoryfalse environment prior logging initialization,weve observed issues masters slow respond two perf traces collected masters slow respond noformat kernel defaultsendipimasksequencephys kernel nativewritemsrsafe kernel rawspinlock libcso intmalloc libcso malloc kernel apictimerinterrupt libcso intfree noformat noformat kernel defaultsendipimasksequencephys kernel rawspinlock kernel nativewritemsrsafe libcso intmalloc libcso intfree kernel apictimerinterrupt libcso malloc noformat found attributed posixfadvise calls made glog disable via environment noformat glogdefinebooldroplogmemory true drop inmemory buffers log contents logs grow quickly rarely read need evicted memory instead drop memory soon flushed disk noformat code flagsdroplogmemory filelength loggingkpagesize dont evict recent page uint len filelength loggingkpagesize posixfadvisefilenofile len posixfadvdontneed code set glogdroplogmemoryfalse prior making call googleinitgooglelogging avoid others running issue,2
MESOS-934,logging debugging document outofdate,following longer correct either delete document rewrite entirely,1
MESOS-976,slaverecoverytestschedulerfailover flaky,running test test case global test environment setup test slaverecoverytest typeparam mesosinternalslavecgroupsisolator run slaverecoverytestschedulerfailover mastercpp master hostname smfdbkqsrdeveltwittercom mastercpp master started mastercpp master allowing authenticated frameworks register mastercpp newly elected leader master mastercpp elected leading master slavecpp slave started slavecpp slave resources cpus mem disk ports slavecpp slave hostname smfdbkqsrdeveltwittercom slavecpp slave checkpoint true cgroupsisolatorcpp using tmpmesostestcgroup cgroups hierarchy root statecpp recovering state tmpslaverecoverytestschedulerfailoverdcnmeta statusupdatemanagercpp recovering status update manager schedcpp authenticating master master schedcpp detecting new master authenticateehpp creating new client sasl connection mastercpp authenticating framework scheduler authenticatorhpp creating new server sasl connection authenticateehpp received sasl authentication mechanisms crammd authenticateehpp attempting authenticate mechanism crammd authenticatorhpp received sasl authentication start authenticatorhpp authentication requires steps authenticateehpp received sasl authentication step authenticatorhpp received sasl authentication step authenticatorhpp authentication success authenticateehpp authentication success mastercpp successfully authenticated framework scheduler schedcpp successfully authenticated master master mastercpp received registration request scheduler mastercpp registering framework scheduler hierarchicalallocatorprocesshpp added framework cgroupsisolatorcpp recovering isolator slavecpp finished recovery slavecpp new master detected master statusupdatemanagercpp new master detected master mastercpp attempting register slave smfdbkqsrdeveltwittercom slave slavecpp detecting new master mastercpp adding slave smfdbkqsrdeveltwittercom cpus mem disk ports slavecpp registered master master given slave slavecpp checkpointing slaveinfo tmpslaverecoverytestschedulerfailoverdcnmetaslavesslaveinfo hierarchicalallocatorprocesshpp added slave smfdbkqsrdeveltwittercom cpus mem disk ports cpus mem disk ports available mastercpp sending offers framework mastercpp processing reply offers slave smfdbkqsrdeveltwittercom framework masterhpp adding task dabdedabdfbde resources cpus mem disk ports slave smfdbkqsrdeveltwittercom mastercpp launching task dabdedabdfbde framework resources cpus mem disk ports slave smfdbkqsrdeveltwittercom slavecpp got assigned task dabdedabdfbde framework slavecpp checkpointing frameworkinfo tmpslaverecoverytestschedulerfailoverdcnmetaslavesframeworksframeworkinfo slavecpp checkpointing framework pid scheduler tmpslaverecoverytestschedulerfailoverdcnmetaslavesframeworksframeworkpid slavecpp launching task dabdedabdfbde framework slavecpp checkpointing executorinfo tmpslaverecoverytestschedulerfailoverdcnmetaslavesframeworksexecutorsdabdedabdfbdeexecutorinfo slavecpp checkpointing taskinfo tmpslaverecoverytestschedulerfailoverdcnmetaslavesframeworksexecutorsdabdedabdfbderunsadabedcbcaadctasksdabdedabdfbdetaskinfo slavecpp queuing task dabdedabdfbde executor dabdedabdfbde framework cgroupsisolatorcpp launching dabdedabdfbde homevinodmesosbuildsrcmesosexecutor tmpslaverecoverytestschedulerfailoverdcnslavesframeworksexecutorsdabdedabdfbderunsadabedcbcaadc resources cpus mem disk ports framework cgroup mesostestframeworkexecutordabdedabdfbdetagadabedcbcaadc cgroupsisolatorcpp changing cgroup controls executor dabdedabdfbde framework resources cpus mem disk ports cgroupsisolatorcpp updated cpushares executor dabdedabdfbde framework cgroupsisolatorcpp updated memorysoftlimitinbytes executor dabdedabdfbde framework cgroupsisolatorcpp updated memorylimitinbytes executor dabdedabdfbde framework cgroupsisolatorcpp started listening oom events executor dabdedabdfbde framework cgroupsisolatorcpp forked executor checkpointing executors forked pid tmpslaverecoverytestschedulerfailoverdcnmetaslavesframeworksexecutorsdabdedabdfbderunsadabedcbcaadcpidsforkedpid slavecpp monitoring executor dabdedabdfbde framework forked pid fetching resources tmpslaverecoverytestschedulerfailoverdcnslavesframeworksexecutorsdabdedabdfbderunsadabedcbcaadc slavecpp got registration executor dabdedabdfbde framework slavecpp checkpointing executor pid executor tmpslaverecoverytestschedulerfailoverdcnmetaslavesframeworksexecutorsdabdedabdfbderunsadabedcbcaadcpidslibprocesspid slavecpp flushing queued task dabdedabdfbde executor dabdedabdfbde framework registered executor smfdbkqsrdeveltwittercom starting task dabdedabdfbde sleep forked command slavecpp handling status update taskrunning uuid fcabcbbfe task dabdedabdfbde framework executor statusupdatemanagercpp received status update taskrunning uuid fcabcbbfe task dabdedabdfbde framework statusupdatemanagerhpp checkpointing update status update taskrunning uuid fcabcbbfe task dabdedabdfbde framework statusupdatemanagercpp forwarding status update taskrunning uuid fcabcbbfe task dabdedabdfbde framework master slavecpp sending acknowledgement status update taskrunning uuid fcabcbbfe task dabdedabdfbde framework executor mastercpp status update taskrunning uuid fcabcbbfe task dabdedabdfbde framework slave statusupdatemanagercpp received status update acknowledgement uuid fcabcbbfe task dabdedabdfbde framework statusupdatemanagerhpp checkpointing ack status update taskrunning uuid fcabcbbfe task dabdedabdfbde framework slavecpp slave terminating mastercpp slave smfdbkqsrdeveltwittercom disconnected hierarchicalallocatorprocesshpp slave disconnected schedcpp authenticating master master schedcpp detecting new master authenticateehpp creating new client sasl connection mastercpp authenticating framework scheduler authenticatorhpp creating new server sasl connection authenticateehpp received sasl authentication mechanisms crammd authenticateehpp attempting authenticate mechanism crammd authenticatorhpp received sasl authentication start authenticatorhpp authentication requires steps authenticateehpp received sasl authentication step authenticatorhpp received sasl authentication step authenticatorhpp authentication success authenticateehpp authentication success mastercpp successfully authenticated framework scheduler schedcpp successfully authenticated master master mastercpp reregistering framework scheduler mastercpp framework failed mastercpp ignoring deactivate framework message framework scheduler registered framework scheduler slavecpp slave started slavecpp slave resources cpus mem disk ports slavecpp slave hostname smfdbkqsrdeveltwittercom slavecpp slave checkpoint true cgroupsisolatorcpp using tmpmesostestcgroup cgroups hierarchy root statecpp recovering state tmpslaverecoverytestschedulerfailoverdcnmeta slavecpp recovering framework slavecpp recovering executor dabdedabdfbde framework statusupdatemanagercpp recovering status update manager statusupdatemanagercpp recovering executor dabdedabdfbde framework cgroupsisolatorcpp recovering isolator cgroupsisolatorcpp recovering executor dabdedabdfbde framework cgroupsisolatorcpp started listening oom events executor dabdedabdfbde framework slavecpp sending reconnect request executor dabdedabdfbde framework executor slavecpp reregistering executor dabdedabdfbde framework cgroupsisolatorcpp changing cgroup controls executor dabdedabdfbde framework resources cpus mem disk ports cgroupsisolatorcpp updated cpushares executor dabdedabdfbde framework cgroupsisolatorcpp updated memorysoftlimitinbytes executor dabdedabdfbde framework reregistered executor smfdbkqsrdeveltwittercom slavecpp cleaning unreregistered executors slavecpp finished recovery slavecpp new master detected master statusupdatemanagercpp new master detected master slavecpp detecting new master mastercpp slave slave smfdbkqsrdeveltwittercom allowed reregister already use slavecpp reregistered master master hierarchicalallocatorprocesshpp slave reconnected slavecpp updating framework pid scheduler mastercpp asked kill task dabdedabdfbde framework slavecpp checkpointing framework pid scheduler tmpslaverecoverytestschedulerfailoverdcnmetaslavesframeworksframeworkpid mastercpp telling slave smfdbkqsrdeveltwittercom kill task dabdedabdfbde framework slavecpp asked kill task dabdedabdfbde framework shutting killing process tree pid,1
MESOS-988,examplestestpythonframework flaky,looks like segfault shutdown noformat run examplestestpythonframework using temporary directory tmpexamplestestpythonframeworkrzyaf warning logging initgooglelogging written stderr processcpp libprocess initialized cpus loggingcpp logging stderr mastercpp master hostname vestaapacheorg mastercpp master started mastercpp master allowing authenticated frameworks register mastercpp whitelist given advertising offers slaves slavecpp slave started slavecpp slave started slavecpp slave resources cpus mem diske ports slavecpp slave resources cpus mem diske ports slavecpp slave hostname vestaapacheorg slavecpp slave checkpoint true slavecpp slave hostname vestaapacheorg slavecpp slave checkpoint true mastercpp newly elected leader master mastercpp elected leading master statecpp recovering state tmpmesoszvcumeta statecpp recovering state tmpmesoszvcumeta hierarchicalallocatorprocesshpp initializing hierarchical allocator process master master statusupdatemanagercpp recovering status update manager processisolatorcpp recovering isolator statusupdatemanagercpp recovering status update manager slavecpp finished recovery processisolatorcpp recovering isolator slavecpp finished recovery slavecpp new master detected master statusupdatemanagercpp new master detected master slavecpp detecting new master slavecpp new master detected master slavecpp detecting new master statusupdatemanagercpp new master detected master mastercpp attempting register slave vestaapacheorg slave mastercpp adding slave vestaapacheorg cpus mem diske ports mastercpp attempting register slave vestaapacheorg slave slavecpp registered master master given slave mastercpp adding slave vestaapacheorg cpus mem diske ports hierarchicalallocatorprocesshpp added slave vestaapacheorg cpus mem diske ports cpus mem diske ports available slavecpp registered master master given slave hierarchicalallocatorprocesshpp performed allocation slave slavecpp checkpointing slaveinfo tmpmesoszvcumetaslavesslaveinfo slavecpp checkpointing slaveinfo tmpmesoszvcumetaslavesslaveinfo hierarchicalallocatorprocesshpp added slave vestaapacheorg cpus mem diske ports cpus mem diske ports available hierarchicalallocatorprocesshpp performed allocation slave slavecpp slave started slavecpp slave resources cpus mem diske ports slavecpp slave hostname vestaapacheorg slavecpp slave checkpoint true statecpp recovering state tmpmesoszvcumeta statusupdatemanagercpp recovering status update manager processisolatorcpp recovering isolator slavecpp finished recovery slavecpp new master detected master statusupdatemanagercpp new master detected master slavecpp detecting new master mastercpp attempting register slave vestaapacheorg slave mastercpp adding slave vestaapacheorg cpus mem diske ports slavecpp registered master master given slave hierarchicalallocatorprocesshpp added slave vestaapacheorg cpus mem diske ports cpus mem diske ports available slavecpp checkpointing slaveinfo tmpmesoszvcumetaslavesslaveinfo hierarchicalallocatorprocesshpp performed allocation slave schedcpp version schedcpp new master detected master schedcpp authenticating master master schedcpp detecting new master authenticateehpp initializing client sasl authenticateehpp creating new client sasl connection mastercpp authenticating framework scheduler authenticatorhpp initializing server sasl auxpropcpp initialized inmemory auxiliary property plugin authenticatorhpp creating new server sasl connection authenticateehpp received sasl authentication mechanisms crammd authenticateehpp attempting authenticate mechanism crammd authenticatorhpp received sasl authentication start authenticatorhpp authentication requires steps authenticateehpp received sasl authentication step authenticatorhpp received sasl authentication step auxpropcpp request lookup properties user testprincipal realm vestaapacheorg server fqdn vestaapacheorg saslauxpropverifyagainsthash false saslauxpropoverride false saslauxpropauthzid false auxpropcpp looking auxiliary property userpassword auxpropcpp looking auxiliary property cmusaslsecretcrammd auxpropcpp request lookup properties user testprincipal realm vestaapacheorg server fqdn vestaapacheorg saslauxpropverifyagainsthash false saslauxpropoverride false saslauxpropauthzid true auxpropcpp skipping auxiliary property userpassword since saslauxpropauthzid true auxpropcpp skipping auxiliary property cmusaslsecretcrammd since saslauxpropauthzid true authenticatorhpp authentication success mastercpp successfully authenticated framework scheduler authenticateehpp authentication success schedcpp successfully authenticated master master mastercpp received registration request scheduler mastercpp registering framework scheduler schedcpp framework registered hierarchicalallocatorprocesshpp added framework hierarchicalallocatorprocesshpp offering cpus mem diske ports slave framework hierarchicalallocatorprocesshpp offering cpus mem diske ports slave framework hierarchicalallocatorprocesshpp offering cpus mem diske ports slave framework schedcpp schedulerregistered took hierarchicalallocatorprocesshpp performed allocation slaves masterhpp adding offer resources cpus mem diske ports slave vestaapacheorg masterhpp adding offer resources cpus mem diske ports slave vestaapacheorg masterhpp adding offer resources cpus mem diske ports slave vestaapacheorg mastercpp sending offers framework schedcpp schedulerresourceoffers took masterhpp removing offer resources cpus mem diske ports slave vestaapacheorg mastercpp processing reply offers slave vestaapacheorg framework masterhpp adding task resources cpus mem slave vestaapacheorg mastercpp launching task framework resources cpus mem slave vestaapacheorg slavecpp got assigned task framework hierarchicalallocatorprocesshpp framework left cpus mem diske ports unused slave masterhpp removing offer resources cpus mem diske ports slave vestaapacheorg mastercpp processing reply offers slave vestaapacheorg framework hierarchicalallocatorprocesshpp framework filtered slave secs slavecpp launching task framework masterhpp adding task resources cpus mem slave vestaapacheorg mastercpp launching task framework resources cpus mem slave vestaapacheorg slavecpp got assigned task framework masterhpp removing offer resources cpus mem diske ports slave vestaapacheorg mastercpp processing reply offers slave vestaapacheorg framework slavecpp launching task framework masterhpp adding task resources cpus mem slave vestaapacheorg mastercpp launching task framework resources cpus mem slave vestaapacheorg hierarchicalallocatorprocesshpp framework left cpus mem diske ports unused slave hierarchicalallocatorprocesshpp framework filtered slave secs hierarchicalallocatorprocesshpp framework left cpus mem diske ports unused slave hierarchicalallocatorprocesshpp framework filtered slave secs slavecpp got assigned task framework slavecpp launching task framework slavecpp queuing task executor default framework processisolatorcpp launching default homehudsonjenkinsslaveworkspacemesostrunkubuntubuildinsrcsetjavahomesrcexamplespythontestexecutor tmpmesoszvcuslavesframeworksexecutorsdefaultrunscdfbdaeafbbd resources cpus mem framework slavecpp successfully attached file tmpmesoszvcuslavesframeworksexecutorsdefaultrunscdfbdaeafbbd processisolatorcpp forked executor slavecpp queuing task executor default framework processisolatorcpp launching default homehudsonjenkinsslaveworkspacemesostrunkubuntubuildinsrcsetjavahomesrcexamplespythontestexecutor tmpmesoszvcuslavesframeworksexecutorsdefaultrunsbddfafffbfcdc resources cpus mem framework slavecpp successfully attached file tmpmesoszvcuslavesframeworksexecutorsdefaultrunsbddfafffbfcdc processisolatorcpp forked executor slavecpp queuing task executor default framework slavecpp monitoring executor default framework forked pid slavecpp successfully attached file tmpmesoszvcuslavesframeworksexecutorsdefaultrunsacafbbeace processisolatorcpp launching default homehudsonjenkinsslaveworkspacemesostrunkubuntubuildinsrcsetjavahomesrcexamplesp,3
MESOS-998,slave wait containerizerupdate completes successfully,container resources updated several places slave dont check update successful even wait completes,5
MESOS-999,slave wait start executor registration timeout launch,current code start launch container wait launch complete container successfully launched likewise executor registration timeout,3
MESOS-1010,python extension build broken gflagsdev installed,environment mesos build master results broken python api module mesosso noformat nektonyadarkstar workspacemesossrcpython pythonpathbuildliblinuxx python import mesos traceback recent call last file string line module importerror homenektonworkspacemesossrcpythonbuildliblinuxxmesosso undefined symbol zngoogleflagregisterercepkcssspvs noformat unmangled version symbol looks like noformat googleflagregistererflagregistererchar const char const char const char const void void noformat configure step glog finds gflags development files starts using thus implicitly adding dependency libgflagsso breaks python extensions module perhaps break mesos subsystems moved hosts without gflags installed task done examplestestpythonframework test pass system gflags installed,3
MESOS-1013,examplestestjavalog flaky,examplestestjavalog test framework flaky possibly related race condition mutexes noformat run examplestestjavalog using temporary directory tmpexamplestestjavalogwbweb feb testlog main info starting local zookeeper server coordinatorcpp check failed missing expecting local replica missing position writing done check failure stack trace testsscriptcpp failure failed javalogtestsh terminated signal aborted failed examplestestjavalog noformat full logs attached,2
MESOS-1081,master deactivate authenticated frameworkslave new authenticatemessage unless new authentication succeeds,master deactivate authenticated frameworkslave upon receiving new authenticatemessage unless new authentication succeeds stands malicious user could spoof pid authenticated frameworkslave send authenticatemessage knock valid frameworkslave authenticated list forcing valid frameworkslave reauthenticate reregister could used dos attack handle scenario actual authenticated frameworkslave sends authenticatemessage fails authentication,1
MESOS-1119,allocator make allocation decision per slave instead per frameworkrole,currently allocatorallocate code loops roles frameworks based drf sort allocates slaves resources first framework logic bit inversed instead slave slave allocate roleframework update drf shares,2
MESOS-1120,http auth cli,integrate http auth cli programs,3
MESOS-1127,implement protobufs scheduler api,default schedulerexecutor interface implementation mesos drawbacks interface fairly highlevel makes hard certain things example handle events callbacks batch big impact performance schedulers example writing task updates need persisted implementation requires writing lot boilerplate jni native python wrappers adding additional api components plan provide lowerlevel api easily used implement higherlevel api currently provided also open door easily building nativelanguage mesos libraries needing shim layer building new higherlevel abstractions top lowerlevel api,8
MESOS-1143,add taskerror task status,task validation drop tasks errors send tasklost status updates circumstances framework want relaunch task gone lost event task actually malformed thus invalid result infinite loop sending task lost,2
MESOS-1148,add support rate limiting slave removal,safeguard unforeseen bugs leading widespread slave removal would nice allow rate limiting decision remove slaves andor send tasklost messages tasks slaves ideally would allow operator notified soon enough intervene causing cluster impact,3
MESOS-1195,systemdslice cgroup enablement fails multiple ways,attempting configure mesos use systemd slices rawhidef machine fails creating isolator containerizercpp using isolation cgroupscpucgroupsmem failed create containerizer could create isolator cgroupscpu failed create isolator cpu subsystem comounted sysfscgroupcpu subsytems details sysfscgroup total drwxrxrx root root mar drwxrxrx root root mar drwxrxrx root root mar blkio lrwxrwxrwx root root mar cpu cpucpuacct lrwxrwxrwx root root mar cpuacct cpucpuacct drwxrxrx root root mar cpucpuacct drwxrxrx root root mar cpuset drwxrxrx root root mar devices drwxrxrx root root mar freezer drwxrxrx root root mar hugetlb drwxrxrx root root apr memory drwxrxrx root root mar netcls drwxrxrx root root mar perfevent drwxrxrx root root mar systemd,3
MESOS-1199,subprocess slow gated processreap poll interval,subprocess uses processreap wait subprocess pid set exit status however processreap polls one second interval resulting delay interval duration status future set means need wait subprocess complete get hit edelay seconds independent execution time example mesoscontainerizer uses mesosfetcher subprocess fetch executor launch twitter fetch local file fast operation launch blocked mesosfetcher pid reaped adding seconds every launch problem even worse chain short subprocesses first subprocess completes youll synchronized reap interval youll see nearly full interval notification subprocesses second duration take seconds become particularly apparent new tests working test durations greatly extended taking several seconds,1
MESOS-1219,master disallow frameworks reconnect failover timeout,scheduler reconnects failover timeout exceeded framework usually reused scheduler doesnt know timeout exceeded actually handled new framework frameworkframeworkid route web doesnt handle cases well key reused shows terminated one would make sense ignore provided framework scheduler reconnects terminated framework generate new make sure unique,2
MESOS-1236,stouts module uses mix trynothing bool returns,stouts module use trynothing return values throughout,2
MESOS-1237,stouts osls return try,stouts osls returns list empty instead return trylist consistent,2
